#ID,#product,#buyprice,#sellprice,#units_purchsed,#units_sold,year
RNMM302671MC,Oil,3,20,613,452,2002
UFBG160794BK,Face_Wash,5,21,755,471,2001
RIEQ544903EP,Soap,4,18,742,492,2009
HFJY800951JK,Tooth_Brush,7,16,870,497,2005
EKMJ507797MG,Face_Wash,6,13,848,469,2005
QSFE291827FG,Body_Wash,8,14,846,474,2010
EETW526990TR,Face_Wash,6,15,837,428,2001
JMJB359496JY,Oil,4,19,572,500,2001
RLNW996733NQ,Soap,10,20,973,467,2006
OXDD710997DJ,Soap,5,15,602,464,2003
ZNJS813835JZ,Shampoo,6,21,874,401,2002
RFSU837995SE,Body_Wash,7,14,700,431,2005
GKSB545314SY,Shampoo,12,25,593,472,2010
DIOQ741179OC,Face_Wash,4,19,807,464,2008
CJNE541394NP,Soap,6,23,635,453,2007
BDVM123661VZ,Soap,10,22,566,486,2006
SQSU966493SZ,Oil,10,13,587,455,2006
VSRX406415RJ,Oil,6,22,1000,487,2010
XINP902687NT,Tooth_Brush,5,18,604,468,2010
PSLN698987LQ,Toothpaste,3,14,772,456,2007
EPLH582472LK,Face_Wash,4,14,988,458,2002
UEKM913467KA,Body_Wash,3,15,934,500,2004
PMAO360719AR,Face_Wash,12,17,884,473,2002
PKYX882905YR,Toothpaste,3,22,807,438,2006
JPLK699658LE,Face_Wash,6,15,827,480,2004
FYXO788478XD,Oil,12,19,626,426,2006
THCQ124536CV,Shampoo,8,21,694,494,2007
CUFJ182705FV,Toothpaste,9,25,544,437,2003
XHCD688997CH,Soap,3,17,908,493,2007
HUPT558287PD,Shampoo,10,22,608,469,2009
EKJU758441JV,Shampoo,6,15,552,463,2004
SFKV276757KL,Oil,10,15,803,463,2008
MRPX481940PL,Oil,12,14,983,468,2003
DZUE866486UA,Body_Wash,4,15,673,454,2002
QPRE854362RQ,Face_Wash,5,14,866,499,2006
RYES822227ES,Toothpaste,3,14,535,426,2004
JREC517234EK,Body_Wash,3,21,675,500,2005
TWPP409512PY,Oil,7,16,591,419,2009
JLLX576981LQ,Shampoo,7,13,730,470,2004
VSMD520681MV,Soap,3,21,791,433,2005
DYBT562982BI,Soap,3,14,896,473,2004
HFCB688382CO,Face_Wash,3,18,917,441,2001
KHBF129305BY,Body_Wash,9,16,844,416,2002
PMCI546100CE,Soap,6,25,813,434,2002
KWVZ525850VX,Soap,6,23,537,414,2010
FPLC574122LV,Soap,9,20,702,408,2004
ONLO622410LL,Toothpaste,7,16,698,472,2004
WVKA671266KI,Body_Wash,11,25,527,473,2010
STEY712954ED,Oil,7,16,727,451,2004
AOVA772585VP,Shampoo,7,19,703,436,2002
UFYN875512YW,Body_Wash,11,22,684,417,2003
SNGY359585GP,Toothpaste,10,19,756,467,2001
TFWM274159WV,Tooth_Brush,10,18,704,468,2004
YCTP497458TB,Soap,3,18,709,422,2001
NHHQ652651HC,Soap,5,19,834,477,2007
UDSI123135SW,Tooth_Brush,7,25,977,407,2001
ESNW931984NG,Tooth_Brush,6,25,822,415,2009
INIC583232IP,Soap,12,13,804,487,2002
UHTR464297TC,Body_Wash,8,18,897,448,2008
BKLL355112LC,Body_Wash,12,14,549,433,2001
ZOMT513288MA,Soap,4,21,995,494,2006
OPZE515600ZJ,Face_Wash,10,18,825,424,2003
TMXS283274XH,Tooth_Brush,8,24,627,401,2006
NLLA693266LJ,Soap,9,22,606,471,2008
PPGV618819GP,Tooth_Brush,10,19,512,454,2005
GSKR256480KB,Tooth_Brush,9,24,596,498,2003
OEKB198223KL,Face_Wash,9,13,618,459,2004
VZSW901458SI,Soap,5,14,622,486,2008
DLSY804548SY,Soap,3,20,821,472,2001
SGVV538448VF,Tooth_Brush,5,22,799,419,2009
OACN855528CM,Shampoo,4,16,756,457,2005
KZUZ225105UI,Face_Wash,10,14,615,433,2005
ZLDY508734DR,Tooth_Brush,5,21,593,495,2003
NHOT278391OM,Shampoo,6,25,630,433,2009
JIZT830519ZM,Body_Wash,9,14,579,439,2001
JZLS867709LT,Shampoo,3,23,751,455,2004
IJLO655285LD,Soap,6,19,848,481,2008
CEXI716665XK,Soap,5,17,624,490,2009
TQUS689700UP,Body_Wash,6,13,688,486,2006
OBDP833674DX,Tooth_Brush,5,18,891,460,2003
VKRE168509RX,Oil,6,22,869,482,2009
ZKXB643853XR,Body_Wash,9,17,566,440,2003
REHN160330HW,Shampoo,11,25,549,427,2007
OMTL734979TH,Shampoo,6,19,650,410,2010
IRPF810128PJ,Tooth_Brush,5,16,838,462,2010
AGPH391808PC,Body_Wash,12,19,641,428,2010
FKQD822107QH,Shampoo,11,18,956,497,2004
YHMQ954743MM,Toothpaste,4,20,894,459,2008
YDFH719497FC,Body_Wash,9,18,961,455,2007
KPHV479779HH,Body_Wash,3,21,580,489,2002
KJRG692703RV,Soap,5,21,732,454,2010
TMKY307725KM,Shampoo,11,25,698,462,2008
NPIN622213IV,Soap,9,14,711,410,2008
TXID744219IV,Oil,3,14,847,404,2005
SSIL183616IE,Oil,9,14,985,429,2007
BNNJ250900NQ,Shampoo,5,13,616,429,2004
BIUT238890UX,Tooth_Brush,4,13,705,417,2003
ZLAE322452AE,Shampoo,5,15,914,475,2007
CSPR966581PQ,Body_Wash,12,21,963,458,2004
LMDC399611DG,Shampoo,9,15,702,464,2010
IXSV612306SK,Toothpaste,12,16,841,455,2006
RYJD262586JP,Face_Wash,10,21,654,476,2010
LRPS944113PI,Face_Wash,8,13,662,404,2001
ZDUO873878UV,Oil,9,13,664,401,2005
OYWO112500WB,Toothpaste,8,19,715,415,2009
GSOO173418OU,Shampoo,7,25,759,440,2010
DEHV983411HP,Toothpaste,5,18,796,450,2006
NXUV451700UT,Soap,7,22,538,409,2005
CWRX374540RR,Toothpaste,4,18,914,449,2008
JXNX223846NE,Oil,10,25,938,453,2006
QTCL105545CS,Body_Wash,7,15,955,459,2004
IJXF653588XO,Body_Wash,6,24,739,412,2005
NEFH312488FW,Shampoo,3,24,540,410,2001
PUCB785907CR,Soap,8,22,836,480,2002
VANQ944868NV,Shampoo,10,17,770,400,2004
CVGX112849GW,Body_Wash,3,13,584,494,2004
YFYS122902YU,Body_Wash,11,21,912,425,2001
AIID240587IN,Face_Wash,4,23,804,412,2007
NBWM306934WN,Shampoo,5,20,944,493,2005
IHAH878521AV,Toothpaste,6,19,989,401,2002
KMYS958252YK,Body_Wash,9,24,660,471,2006
IJOI841566OR,Toothpaste,7,22,822,441,2006
BIKW426869KA,Soap,7,21,894,462,2010
BJVY194282VT,Body_Wash,11,23,739,408,2003
PAWC943645WD,Oil,7,14,993,412,2009
JJYM167660YC,Oil,11,14,923,421,2010
CZKM161814KT,Shampoo,3,16,950,404,2003
UDKE497395KM,Shampoo,9,24,800,457,2008
DZRY256683RK,Toothpaste,9,16,853,465,2008
SZPU117117PZ,Shampoo,5,21,625,434,2010
ZGNM699804NR,Shampoo,5,19,550,477,2006
PWZZ559973ZK,Oil,7,17,799,406,2002
NHEW466369EP,Toothpaste,8,22,592,435,2010
NKAF439924AE,Face_Wash,10,14,697,402,2008
DAAM747165AF,Shampoo,5,17,637,499,2006
EKTX579812TH,Soap,9,21,542,466,2004
BGBY389210BN,Toothpaste,9,24,583,424,2004
PCIR234481IZ,Shampoo,9,14,561,476,2002
UTSA856985SH,Soap,11,21,864,457,2001
MVOM635821OD,Oil,11,13,781,467,2004
DWDV788916DP,Tooth_Brush,10,25,678,470,2010
KHET778660EJ,Body_Wash,3,23,845,466,2001
QVJW371995JH,Face_Wash,6,18,973,498,2006
FVOC822576OO,Body_Wash,9,25,621,484,2006
QNHU393182HZ,Tooth_Brush,12,25,771,418,2004
ZJRJ316898RU,Tooth_Brush,3,19,689,433,2003
CMZA248302ZA,Shampoo,3,22,508,401,2003
